1101,1,30
1102,0,22
1103,1,27
1104,0,31
1105,1,25
1106,0,23
1107,0,31
1108,1,28
1109,1,27
1110,0,26
1111,0,25
1112,1,35
1113,1,48
1114,1,38
1115,1,26
1116,1,25
1117,1,33
1118,1,24
1119,1,41
1120,1,24
1121,0,29
1122,1,45
1123,1,23
1124,1,32
1125,1,34
1126,1,23
1127,1,30
1128,1,39
1129,1,27
1130,1,28
1131,1,25
1132,1,30
1133,1,37
1134,1,29
1135,1,26
1137,1,29
1138,0,31
1140,1,37
1141,0,31
1143,1,32
1144,1,32
1146,1,47
1147,1,31
1149,1,39
1150,1,40
1152,1,34
1154,1,26
1155,1,38
1157,1,33
1158,1,36
1159,1,29
1160,1,47
1161,1,43
1136,1,27
1139,1,49
1142,1,24
1145,1,37
1148,1,39
1151,1,29
1153,1,30
1156,1,34
1,1,26
10,1,26
11,1,26
12,1,25
13,1,25
14,1,25
15,0,25
16,1,25
17,0,29
18,1,27
19,0,27
2,0,25
20,1,25
21,0,24
22,1,33
23,0,32
24,1,26
25,1,28
26,1,26
27,0,25
28,0,31
29,1,25
3,1,29
30,0,25
31,1,24
32,1,35
33,1,27
34,1,26
35,0,24
36,1,25
37,1,26
38,1,26
39,0,42
4,1,57
40,1,25
41,1,26
42,0,43
43,0,35
44,1,26
45,0,46
46,1,49
47,0,50
48,1,68
49,1,64
5,1,28
50,0,24
51,1,25
52,1,26
53,0,28
54,0,24
55,0,24
56,0,24
57,0,26
58,0,29
59,1,23
6,0,28
60,0,24
61,1,23
7,1,25
8,1,23
9,1,26
