|职位|单位|地点|链接
17|上海市交通大学附属第一人民...|上海市第一人民医院|上海市虹口区|https://www.jobmd.cn/work/677852.htm
18|血液内科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791572.htm
19|詹启敏院士团队博士后招聘启...|深圳北京大学香港科技大学医...|广东省深圳市|https://www.jobmd.cn/work/728211.htm
0|博士后|深圳大学第一附属医院蔡志明...|深圳市福田区|https://www.jobmd.cn/work/798888.htm
1|广州医科大学附属第三医院超...|广州医科大学附属第三医院|广州市荔湾区|https://www.jobmd.cn/work/623966.htm
2|南方科技大学医学院陈国安教...|南方科技大学医学院|深圳市南山区|https://www.jobmd.cn/work/752533.htm
3|南方科技大学医学院博士后招...|南方科技大学医学院|深圳市南山区|https://www.jobmd.cn/work/704855.htm
4|Postdoc Fellow in Neurogene...|国家神经系统疾病临床医学研...|北京市丰台区|https://www.jobmd.cn/work/706219.htm
5|急诊医学博士后|广东省人民医院（省医学科学...|广东省|https://www.jobmd.cn/work/604256.htm
6|有机合成药物化学金属催化科...|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/765665.htm
7|META分析工程师|绍兴艾尔生物科技有限公司|全国|https://www.jobmd.cn/work/734798.htm
8|博士后（中心）|中国科学院上海巴斯德研究所|上海市|https://www.jobmd.cn/work/828110.htm
9|博士后|深圳市宝安区妇幼保健院|深圳市宝安区|https://www.jobmd.cn/work/829010.htm
10|童明汉实验室博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/747207.htm
11|博士后（病毒免疫学-王建华...|中国科学院上海巴斯德研究所|上海市|https://www.jobmd.cn/work/756414.htm
12|南方医科大学博士后（黄文华...|南方医科大学|广州市白云区|https://www.jobmd.cn/work/754561.htm
13|招聘SCI投稿专员，指责根据...|北京纽创博美生物科技有限公司|北京市通州区|https://www.jobmd.cn/work/766245.htm
14|副研究员与博士后（深圳大学...|深圳大学医学部|深圳市南山区|https://www.jobmd.cn/work/826542.htm
15|多肽合成博士后|珠海市人民医院（暨南大学附...|珠海市香洲区|https://www.jobmd.cn/work/767720.htm
16|有机合成博士后|珠海市人民医院（暨南大学附...|珠海市香洲区|https://www.jobmd.cn/work/767726.htm
17|深圳大学肿瘤研究中心翟日洪...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/566658.htm
18|博士后（糖尿病方向）|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/557827.htm
19|博士后（深圳大学医学院生物...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/575081.htm
0|博士后|深圳大学医学部|深圳市南山区|https://www.jobmd.cn/work/616965.htm
1|同济大学附属东方医院博士后...|上海市东方医院|上海市浦东新区|https://www.jobmd.cn/work/572382.htm
2|博士后|深圳大学糖尿病基础与临床研...|深圳市南山区|https://www.jobmd.cn/work/806853.htm
3|基础医学（病理学）|江苏大学医学院|镇江市京口区|https://www.jobmd.cn/work/786876.htm
4|有机化学药物化学博士后|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/821581.htm
5|广州医科大学呼吸疾病国家重...|广州呼吸疾病研究所|广东省广州市|https://www.jobmd.cn/work/819058.htm
6|广州医科大学呼吸疾病国家重...|广州呼吸疾病研究所|广东省广州市|https://www.jobmd.cn/work/819063.htm
7|胡苹实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/657472.htm
8|病毒细胞生物学博士后|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/816689.htm
9|张国君教授课题组博士后|厦门大学附属翔安医院|厦门市翔安区|https://www.jobmd.cn/work/743380.htm
10|SCI高分公关编辑|广州美迪生生物科技有限公司|广东省|https://www.jobmd.cn/work/716799.htm
11|诚聘SCI学术专家|广州美迪生生物科技有限公司|全国|https://www.jobmd.cn/work/642010.htm
12|神经外科SCI论文编辑（兼职）|广州美迪生生物科技有限公司|上海市|https://www.jobmd.cn/work/642425.htm
13|脊柱外科SCI编辑（兼职）|广州美迪生生物科技有限公司|广东省|https://www.jobmd.cn/work/642434.htm
14|普通外科SCI高级编辑（兼职）|广州美迪生生物科技有限公司|浙江省|https://www.jobmd.cn/work/642443.htm
15|耳鼻喉科、生殖医学科博士后|成都中医药大学|成都市金牛区|https://www.jobmd.cn/work/750228.htm
16|高栋实验室博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/811189.htm
17|高栋（生化与细胞所）和宋杰...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/811190.htm
18|博士后（孟广勋组）|中国科学院上海巴斯德研究所|上海市|https://www.jobmd.cn/work/809514.htm
19|隋鹏飞实验室博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/807940.htm
0|药物化学有机化学药物合成研...|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/807833.htm
1|周波实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/788317.htm
2|吴立刚实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/763468.htm
3|许琛琦实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/752196.htm
4|胡红雨实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/719342.htm
5|周兆才实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/709433.htm
6|欧阳波实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/718079.htm
7|李荟实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/723384.htm
8|陈勇实验室博士后/助理研究员|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/700462.htm
9|陈玲玲实验室招聘博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/708684.htm
10|丁建平实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/698121.htm
11|胡荣贵研究组招聘博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/641045.htm
12|陈洛南研究组博士后、助理研...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/647305.htm
13|徐国良研究组博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/562610.htm
14|葛高翔研究组招聘博士后研究...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/530187.htm
15|侯法建研究组博士后或助理研...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/444795.htm
16|惠静毅研究组招聘博士后、研...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/540007.htm
17|孟飞龙研究组招聘博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/542472.htm
18|丛尧研究组招聘博士后|中国科学院生物化学与细胞生...|上海市浦东新区|https://www.jobmd.cn/work/456615.htm
19|博士后（2019CJ1）|中国科学院上海巴斯德研究所|上海市|https://www.jobmd.cn/work/784299.htm
0|博士后（TH2）|中国科学院上海巴斯德研究所|上海市|https://www.jobmd.cn/work/803183.htm
1|博士后（泌尿外科）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/436511.htm
2|博士后（妇产科）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/436514.htm
3|博士后（肝胆外科）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/436516.htm
4|博士后（检验）|解放军第900医院（原南京军区...|福建省福州市|https://www.jobmd.cn/work/436522.htm
5|博士后（医学影像）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/436525.htm
6|博士后（儿科）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/556474.htm
7|博士后（普外）|解放军第900医院（原南京军区...|福建省福州市|https://www.jobmd.cn/work/556475.htm
8|博士后（骨科）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/556476.htm
9|药理学工作者博士后计算机辅...|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/804526.htm
10|复旦大学朱同玉课题组诚聘青...|上海市公共卫生临床中心|上海市金山区|https://www.jobmd.cn/work/773783.htm
11|复旦大学卢洪洲课题组|上海市公共卫生临床中心|上海市虹口区|https://www.jobmd.cn/work/792658.htm
12|心血管研究所博士后（生物学...|上海交通大学医学院附属瑞金...|上海市|https://www.jobmd.cn/work/573502.htm
13|心血管内科相关专业博士后|上海交通大学医学院附属瑞金...|上海市|https://www.jobmd.cn/work/573503.htm
14|风湿免疫科高级研究助理|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791548.htm
15|超声影像科高级研究助理|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791553.htm
16|肝胆胰外科高级研究助理|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791556.htm
17|风湿免疫科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791558.htm
18|超声影像科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791561.htm
19|肝胆胰外科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791562.htm
0|胃肠外科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791564.htm
1|耳鼻咽喉科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791566.htm
2|博士后（呼吸疾病国家重点实...|广州呼吸健康研究院|广州市越秀区|https://www.jobmd.cn/work/721053.htm
3|胸外科何建行教授博士后|广州医科大学附属第一医院|广州市越秀区|https://www.jobmd.cn/work/725497.htm
4|康九红教授课题组招聘|上海市第一妇婴保健院|上海市|https://www.jobmd.cn/work/798639.htm
5|韩德民院士团队招聘博士后|广州医科大学附属第一医院耳...|广州市越秀区|https://www.jobmd.cn/work/798977.htm
6|汕头大学医学院高薪诚聘博士...|汕头大学医学院|广东省汕头市|https://www.jobmd.cn/work/794882.htm
7|特别研究助理|中国科学院上海巴斯德研究所|上海市|https://www.jobmd.cn/work/798266.htm
8|肿瘤学博士后 免费住宿|广东医科大学附属医院|广东省湛江市|https://www.jobmd.cn/work/552794.htm
9|神经病学博士后 免费住宿|广东医科大学附属医院|广东省|https://www.jobmd.cn/work/552795.htm
10|内科学（麻醉）博士后 免费...|广东医科大学附属医院|广东省湛江市|https://www.jobmd.cn/work/552801.htm
11|外科学（肝胆）博士后 免费...|广东医科大学附属医院|广东省湛江市|https://www.jobmd.cn/work/552802.htm
12|内科学（心血管）博士后 免...|广东医科大学附属医院|广东省湛江市|https://www.jobmd.cn/work/552797.htm
13|内科学（消化）博士后 免费...|广东医科大学附属医院|广东省湛江市|https://www.jobmd.cn/work/552798.htm
14|内科学（肾病）博士后 免费...|广东医科大学附属医院|广东省湛江市|https://www.jobmd.cn/work/552799.htm
